language,title,temperature,LLM,sent_count,token_count,token_by_sent,noun_count,noun_count_u,noun_ttr,verb_count,verb_count_u,verb_ttr,adj_count,adj_count_u,adj_ttr,Lex_hdd,Lex_vocd,Lex_mattr,Lex_mtld
Korean,자연 보존과 자연 개발,High,GPT4.1,22,613,27.86363636,230,151,0.107099794,40,19,0.077487765,16,10,0.101957586,0.792905431,64.54359848,0.786879433,67.90832634
Korean,자연 보존과 자연 개발,High,GPT4.1,20,571,28.55,206,123,0.104568718,48,19,0.069322825,12,7,0.102159953,0.794636851,64.18046039,0.790957854,72.25801478
Korean,자연 보존과 자연 개발,High,GPT4.1,19,574,30.21052632,234,143,0.10646535,30,18,0.104529617,14,8,0.099552016,0.803852512,69.09201706,0.80887619,82.08674189
Korean,자연 보존과 자연 개발,High,GPT4.1,17,513,30.17647059,208,145,0.135889939,40,15,0.073099415,10,6,0.116959064,0.807651692,71.2742025,0.819310345,81.15124727
Korean,직업선택의조건,Low,GPT4.1,16,415,25.9375,146,78,0.128734115,33,15,0.109529025,7,5,0.17211704,0.732769526,42.17007504,0.73715847,51.88401721
Korean,직업선택의조건,Low,GPT4.1,14,401,28.64285714,134,77,0.14329847,27,16,0.147778701,14,7,0.124688279,0.74132879,44.79132245,0.752102273,52.36105701
Korean,직업선택의조건,Low,GPT4.1,15,401,26.73333333,131,70,0.13325465,28,13,0.115781974,11,5,0.113352981,0.724519167,40.16183365,0.727272727,48.80034355
Korean,직업선택의조건,Low,GPT4.1,15,393,26.2,133,77,0.147314852,26,14,0.137013114,11,5,0.115660421,0.733069247,41.907242,0.741744186,50.3152533
Korean,직업선택의조건,Low,GPT4.1,18,500,27.77777778,175,94,0.107428571,30,16,0.106666667,13,8,0.123076923,0.741629267,44.85423974,0.732372506,53.73763816
Korean,직업선택의조건,Low,GPT4.1,15,373,24.86666667,119,63,0.141933449,32,15,0.125670241,9,6,0.17873101,0.74561227,45.54225033,0.765740741,61.05176949
Korean,직업선택의조건,Low,GPT4.1,16,368,23,121,72,0.161696011,28,12,0.116459627,9,5,0.150966184,0.754369898,48.74096305,0.749968652,55.55844156
Korean,직업선택의조건,Low,GPT4.1,14,359,25.64285714,120,61,0.141597029,25,15,0.167130919,12,6,0.139275766,0.738717462,43.59903399,0.745290323,45.59325405
Korean,직업선택의조건,Low,GPT4.1,16,488,30.5,155,79,0.104442094,36,18,0.102459016,13,6,0.094577554,0.744383566,45.61833595,0.761822323,57.03360099
Korean,직업선택의조건,Low,GPT4.1,14,404,28.85714286,131,69,0.130375633,29,16,0.136565381,8,4,0.123762376,0.730644005,41.23394887,0.743492958,50.1149067
Korean,직업선택의조건,Middle,GPT4.1,15,404,26.93333333,124,67,0.133743213,30,19,0.156765677,15,7,0.115511551,0.745974486,45.6469633,0.766929577,60.83586197
Korean,직업선택의조건,Middle,GPT4.1,17,499,29.35294118,161,97,0.120738371,37,20,0.108324758,15,7,0.093520374,0.75597057,49.53286846,0.751955556,59.28997956
Korean,직업선택의조건,Middle,GPT4.1,17,497,29.23529412,163,84,0.103689622,42,19,0.091022324,13,7,0.108342362,0.752988227,48.0445908,0.768705357,60.22010425
Korean,직업선택의조건,Middle,GPT4.1,20,479,23.95,153,91,0.124169362,41,16,0.081470543,12,8,0.139178845,0.742266631,44.68260666,0.735581395,53.33729412
Korean,직업선택의조건,Middle,GPT4.1,16,387,24.1875,126,72,0.147655962,27,14,0.133984113,9,5,0.143554407,0.745837578,45.47745585,0.751360947,55.31709097
Korean,직업선택의조건,Middle,GPT4.1,17,423,24.88235294,133,77,0.13686699,34,17,0.11820331,14,8,0.135089497,0.764156761,51.92669418,0.755080214,50.12733513
Korean,직업선택의조건,Middle,GPT4.1,15,392,26.13333333,125,67,0.136734694,28,15,0.136661808,15,8,0.136054422,0.748262046,47.13669105,0.749970845,54.32084356
Korean,직업선택의조건,Middle,GPT4.1,15,423,28.2,145,73,0.119018505,34,23,0.159922125,11,5,0.107457554,0.75768565,49.8924195,0.766737968,58.06937675
Korean,직업선택의조건,Middle,GPT4.1,14,399,28.5,131,73,0.139662132,31,16,0.129355647,10,7,0.175438596,0.744949961,45.51116224,0.741142857,54.16840537
Korean,직업선택의조건,Middle,GPT4.1,14,380,27.14285714,131,76,0.152671756,24,12,0.131578947,10,7,0.184210526,0.739716389,44.14628743,0.745135952,50.23551864
Korean,직업 선택의 조건,High,GPT4.1,15,414,27.6,141,94,0.161030596,30,22,0.177133655,10,7,0.169082126,0.778472175,57.90780741,0.78339726,64.92159924
Korean,직업 선택의 조건,High,GPT4.1,13,330,25.38461538,110,71,0.195592287,23,15,0.197628458,10,9,0.272727273,0.785009395,59.95767595,0.794021352,66
Korean,직업 선택의 조건,High,GPT4.1,19,531,27.94736842,179,102,0.10731307,42,18,0.08071025,18,7,0.073237079,0.777738297,56.81620411,0.779834025,68.79711384
Korean,직업 선택의 조건,High,GPT4.1,20,532,26.6,188,96,0.095984642,38,21,0.103878116,16,10,0.117481203,0.772017902,55.35670023,0.765010352,60.65317381
Korean,직업 선택의 조건,High,GPT4.1,16,437,27.3125,141,85,0.137948943,32,13,0.092963387,12,8,0.152555301,0.754190206,48.42088784,0.756701031,52.73285492
Korean,직업 선택의 조건,High,GPT4.1,22,624,28.36363636,201,121,0.096472764,56,25,0.07154304,25,12,0.076923077,0.786302263,60.83449011,0.784069565,67.15697823
Korean,직업 선택의 조건,High,GPT4.1,21,610,29.04761905,200,115,0.094262295,48,26,0.088797814,18,10,0.091074681,0.781302163,58.69145975,0.779714795,58.37972509
Korean,직업 선택의 조건,High,GPT4.1,13,407,31.30769231,132,82,0.152631971,34,18,0.130076601,17,8,0.115623645,0.77515215,55.8433917,0.786815642,71.04430233
Korean,직업 선택의 조건,High,GPT4.1,21,575,27.38095238,185,97,0.091186839,43,20,0.080889788,24,15,0.108695652,0.773495661,55.31200855,0.762509506,61.57894352
Korean,직업 선택의 조건,High,GPT4.1,19,547,28.78947368,180,100,0.101564087,48,25,0.095216332,18,11,0.111720496,0.771890197,54.9441443,0.774016064,61.10053693
Korean,대학의 역할,Low,GPT4.1,12,352,29.33333333,132,83,0.17863292,24,12,0.142045455,4,3,0.213068182,0.749337059,46.76433577,0.765016502,58.66666667
Korean,대학의 역할,Low,GPT4.1,14,428,30.57142857,140,83,0.138518024,38,18,0.110673881,4,2,0.11682243,0.757655101,50.00708326,0.781635884,68.46581648
Korean,대학의 역할,Low,GPT4.1,14,404,28.85714286,144,87,0.149546205,35,18,0.127298444,3,3,0.247524752,0.755429014,48.92814222,0.786535211,63.55595336
Korean,대학의 역할,Low,GPT4.1,14,390,27.85714286,126,80,0.162800163,35,22,0.161172161,5,4,0.205128205,0.756396928,49.1844318,0.769442815,63.46408318
Korean,대학의 역할,Low,GPT4.1,14,404,28.85714286,150,91,0.150165017,28,16,0.141442716,2,1,0.123762376,0.753236225,48.5786204,0.763830986,58.02291826
Korean,대학의 역할,Low,GPT4.1,12,331,27.58333333,124,78,0.190039957,24,13,0.163645519,4,2,0.151057402,0.752935211,48.47401752,0.785957447,62.80422685
Korean,대학의 역할,Low,GPT4.1,11,322,29.27272727,113,73,0.200626615,21,13,0.192250813,4,4,0.310559006,0.737672499,43.52888257,0.760952381,53.90343137
Korean,대학의 역할,Low,GPT4.1,14,396,28.28571429,152,87,0.14453748,26,11,0.106837607,3,2,0.168350168,0.754891432,48.71166602,0.784726225,63.04326154
Korean,대학의 역할,Low,GPT4.1,13,342,26.30769231,130,84,0.188933873,17,11,0.189198486,3,2,0.194931774,0.765750026,52.7042621,0.79890785,64.76170213
Korean,대학의 역할,Low,GPT4.1,11,335,30.45454545,124,78,0.187770823,21,13,0.184790334,2,2,0.298507463,0.748561266,46.75266688,0.758041958,59.74163619
Korean,대학의 역할,Middle,GPT4.1,13,416,32,165,97,0.141317016,28,17,0.145947802,3,3,0.240384615,0.76633533,53.23930437,0.775640327,66.0879638
Korean,대학의 역할,Middle,GPT4.1,13,412,31.69230769,150,93,0.150485437,34,15,0.107081668,1,1,0.242718447,0.737145809,43.53719877,0.752506887,58.85714286
Korean,대학의 역할,Middle,GPT4.1,13,355,27.30769231,126,74,0.165437067,28,16,0.160965795,4,3,0.211267606,0.738989805,44.07718415,0.759477124,59.5074171
Korean,대학의 역할,Middle,GPT4.1,16,413,25.8125,149,83,0.134878203,26,12,0.111752654,6,4,0.1614205,0.737406105,43.35790174,0.739725275,49.68712462
Korean,대학의 역할,Middle,GPT4.1,10,351,35.1,134,89,0.189224816,27,16,0.168829798,4,4,0.284900285,0.777643273,57.11730806,0.795364238,70.28555759
Korean,대학의 역할,Middle,GPT4.1,15,395,26.33333333,143,91,0.161104718,27,16,0.150023441,5,5,0.253164557,0.769985818,54.25666341,0.785549133,59.52753957
Korean,대학의 역할,Middle,GPT4.1,10,324,32.4,115,74,0.198604402,23,16,0.214707461,5,3,0.185185185,0.756597522,49.53357501,0.779781818,63.68275862
Korean,대학의 역할,Middle,GPT4.1,14,417,29.78571429,142,83,0.140169554,37,16,0.103700823,3,3,0.239808153,0.717547034,38.07000285,0.724891304,46.33333333
Korean,대학의 역할,Middle,GPT4.1,15,421,28.06666667,156,97,0.147694744,26,18,0.164443632,5,5,0.237529691,0.763210428,51.26494253,0.785,60.30899763
Korean,대학의 역할,Middle,GPT4.1,13,355,27.30769231,134,84,0.176581879,20,12,0.169014085,2,1,0.14084507,0.747114857,46.36480144,0.76,60.64583333
Korean,대학의 역할,High,GPT4.1,11,313,28.45454545,115,77,0.2139186,23,15,0.208362273,2,2,0.319488818,0.771590844,54.70696624,0.788409091,67.43797138
Korean,대학의 역할,High,GPT4.1,15,525,35,196,115,0.111758989,33,14,0.080808081,11,7,0.121212121,0.783476332,59.69720095,0.791680672,72.14872263
Korean,대학의 역할,High,GPT4.1,17,525,30.88235294,205,145,0.134727062,39,18,0.087912088,6,4,0.126984127,0.798232857,67.00070187,0.812268908,70.46198747
Korean,대학의 역할,High,GPT4.1,17,473,27.82352941,175,109,0.131682271,29,17,0.123933805,7,6,0.181214135,0.764890169,52.43867854,0.77,64.37050822
Korean,대학의 역할,High,GPT4.1,15,480,32,179,109,0.126862197,33,24,0.151515152,5,5,0.208333333,0.788585439,61.68582094,0.797587007,68.64407056
Korean,대학의 역할,High,GPT4.1,15,410,27.33333333,145,101,0.169890664,33,19,0.140428677,9,7,0.189701897,0.796715178,65.30594159,0.791523546,71.61100238
Korean,대학의 역할,High,GPT4.1,15,471,31.4,160,105,0.13933121,50,24,0.101910828,5,3,0.127388535,0.770086046,54.17486289,0.788767773,69.88216354
Korean,대학의 역할,High,GPT4.1,19,500,26.31578947,193,119,0.123316062,40,20,0.1,7,5,0.142857143,0.782811166,58.5507307,0.767450111,60.59343678
Korean,대학의 역할,High,GPT4.1,13,392,30.15384615,148,97,0.167195256,28,18,0.163994169,7,6,0.218658892,0.778820523,57.31578758,0.787055394,70.17730058
Korean,대학의 역할,High,GPT4.1,15,467,31.13333333,177,112,0.135496437,34,19,0.119662426,3,3,0.214132762,0.767316598,52.78699976,0.776555024,66.71428571
Korean,행복한 삶의 조건,Low,GPT4.1,17,407,23.94117647,117,77,0.161700162,44,23,0.128434219,10,7,0.171990172,0.736656136,43.43886667,0.734022346,58.85191638
Korean,행복한 삶의 조건,Low,GPT4.1,13,389,29.92307692,119,75,0.162018535,33,23,0.179169588,11,5,0.116849731,0.775941949,56.30226843,0.762941176,60.63428325
Korean,행복한 삶의 조건,Low,GPT4.1,13,348,26.76923077,112,71,0.182163383,26,16,0.17683466,6,4,0.191570881,0.739142484,44.28453071,0.739063545,58.60079681
Korean,행복한 삶의 조건,Low,GPT4.1,17,355,20.88235294,108,73,0.190401669,31,15,0.136301681,12,7,0.164319249,0.754805815,48.65638901,0.749346405,56.96421481
Korean,행복한 삶의 조건,Low,GPT4.1,13,343,26.38461538,112,65,0.169200333,32,21,0.191326531,6,2,0.09718173,0.742227921,44.80040582,0.727006803,49.12222838
Korean,행복한 삶의 조건,Low,GPT4.1,17,400,23.52941176,125,72,0.144,35,23,0.164285714,9,5,0.138888889,0.741849515,44.75956682,0.725698006,51.2038857
Korean,행복한 삶의 조건,Low,GPT4.1,17,374,22,110,81,0.196888673,32,21,0.175467914,9,5,0.148544266,0.758838849,50.06280501,0.750646154,58.63880619
Korean,행복한 삶의 조건,Low,GPT4.1,14,322,23,94,67,0.221355887,32,19,0.18439441,8,5,0.194099379,0.751250494,47.29573984,0.751648352,57.85301671
Korean,행복한 삶의 조건,Low,GPT4.1,14,335,23.92857143,98,64,0.194943649,35,17,0.144989339,6,4,0.199004975,0.739736335,44.39425915,0.734615385,51.92070225
Korean,행복한 삶의 조건,Low,GPT4.1,13,348,26.76923077,113,71,0.180551317,32,18,0.161637931,8,4,0.143678161,0.743297639,45.24419442,0.728829431,48.79260489
Korean,행복한 삶의 조건,Middle,GPT4.1,16,397,24.8125,121,79,0.164456565,37,25,0.170195384,14,10,0.179920835,0.752168465,47.7747028,0.747586207,54.84991077
Korean,행복한 삶의 조건,Middle,GPT4.1,13,357,27.46153846,112,69,0.172569028,31,22,0.198789193,4,3,0.210084034,0.742726882,44.57384535,0.742142857,55.03140881
Korean,행복한 삶의 조건,Middle,GPT4.1,14,392,28,116,67,0.14734342,35,21,0.153061224,12,7,0.148809524,0.744233777,45.38420018,0.746822157,52.83257919
Korean,행복한 삶의 조건,Middle,GPT4.1,14,426,30.42857143,134,78,0.13664074,34,20,0.138083402,12,9,0.176056338,0.749291963,47.39746092,0.754323607,56.83296867
Korean,행복한 삶의 조건,Middle,GPT4.1,14,409,29.21428571,129,73,0.138359773,40,23,0.140586797,17,10,0.14382281,0.763082344,51.73217581,0.761833333,60.9372774
Korean,행복한 삶의 조건,Middle,GPT4.1,13,362,27.84615385,112,72,0.177584846,32,23,0.198549724,12,9,0.20718232,0.774592006,55.87014795,0.778210863,63.77413268
Korean,행복한 삶의 조건,Middle,GPT4.1,19,423,22.26315789,130,83,0.150936534,38,26,0.161751897,6,5,0.197005516,0.769959128,53.51459808,0.764331551,60.44880195
Korean,행복한 삶의 조건,Middle,GPT4.1,16,366,22.875,107,72,0.183851693,32,21,0.179303279,11,7,0.173869846,0.741624444,44.59999288,0.729211356,51.58872532
Korean,행복한 삶의 조건,Middle,GPT4.1,18,443,24.61111111,140,79,0.127378265,38,20,0.118807176,11,7,0.143648676,0.738923335,43.8143584,0.720101523,49.22222222
Korean,행복한 삶의 조건,Middle,GPT4.1,13,383,29.46153846,119,73,0.160168506,35,20,0.14919806,14,5,0.093248788,0.747100977,45.73362742,0.747005988,57.36501295
Korean,행복한 삶의 조건,High,GPT4.1,15,365,24.33333333,112,82,0.200587084,35,19,0.148727984,13,7,0.147523709,0.76090289,50.64130963,0.744936709,52.1310366
Korean,행복한 삶의 조건,High,GPT4.1,19,569,29.94736842,192,114,0.104349736,41,23,0.098589738,15,9,0.105448155,0.779681194,57.40401531,0.783961538,69.65222943
Korean,행복한 삶의 조건,High,GPT4.1,20,498,24.9,143,89,0.124975426,51,26,0.102370265,25,18,0.144578313,0.765002758,52.56064154,0.762360802,63.16250105
Korean,행복한 삶의 조건,High,GPT4.1,21,587,27.95238095,186,119,0.108992325,57,34,0.101616904,13,10,0.131044424,0.784988931,60.66525242,0.77598513,66.70106215
Korean,행복한 삶의 조건,High,GPT4.1,14,404,28.85714286,125,90,0.178217822,34,21,0.152882935,15,8,0.132013201,0.794321975,64.66620183,0.785070423,71.36911841
Korean,행복한 삶의 조건,High,GPT4.1,21,475,22.61904762,143,102,0.150165624,40,25,0.131578947,15,11,0.154385965,0.78352229,59.20584345,0.778967136,70.7500453
Korean,행복한 삶의 조건,High,GPT4.1,16,406,25.375,118,83,0.173248727,46,29,0.155279503,11,10,0.223914017,0.791754752,62.67817491,0.789803922,70.95718937
Korean,행복한 삶의 조건,High,GPT4.1,21,567,27,154,90,0.103071532,62,33,0.093872675,22,13,0.104216771,0.766119385,52.48802091,0.768918919,63.56116655
Korean,행복한 삶의 조건,High,GPT4.1,20,527,26.35,154,102,0.125680771,53,29,0.103827289,14,12,0.162645703,0.762949794,51.57011314,0.765564854,59.73944344
Korean,행복한 삶의 조건,High,GPT4.1,14,344,24.57142857,113,80,0.205803663,29,16,0.160384924,7,5,0.207641196,0.764615946,51.96372001,0.747728814,55.94354952
Korean,예술 교육의 필요성,Low,GPT4.1,12,409,34.08333333,146,89,0.149043775,30,18,0.146699267,4,4,0.244498778,0.75486243,48.23847431,0.755277778,57.79875267
Korean,예술 교육의 필요성,Low,GPT4.1,18,487,27.05555556,186,106,0.117021042,33,17,0.105780599,6,6,0.205338809,0.771704682,54.60990999,0.775479452,67.4357634
Korean,예술 교육의 필요성,Low,GPT4.1,16,417,26.0625,151,98,0.15563708,32,21,0.157374101,5,4,0.191846523,0.777706668,57.36718445,0.762336957,64.63593477
Korean,예술 교육의 필요성,Low,GPT4.1,13,404,31.07692308,146,84,0.142411501,33,19,0.142514251,3,3,0.247524752,0.75554387,48.9682571,0.771887324,59.0658528
Korean,예술 교육의 필요성,Low,GPT4.1,14,422,30.14285714,148,94,0.150505956,34,23,0.160301087,8,4,0.118483412,0.776353082,56.50115612,0.774959786,65.2996945
Korean,예술 교육의 필요성,Low,GPT4.1,14,404,28.85714286,152,100,0.162845232,28,16,0.141442716,5,4,0.198019802,0.776014678,56.47048333,0.781464789,65.16966581
Korean,예술 교육의 필요성,Low,GPT4.1,15,445,29.66666667,153,94,0.138062716,36,24,0.149812734,8,7,0.196629213,0.773651633,55.26616159,0.775808081,65.35648241
Korean,예술 교육의 필요성,Low,GPT4.1,12,403,33.58333333,144,84,0.144747725,33,16,0.120309798,5,4,0.198511166,0.756343463,49.16367051,0.764237288,62.21122923
Korean,예술 교육의 필요성,Low,GPT4.1,10,358,35.8,125,82,0.183240223,27,19,0.19656528,6,4,0.186219739,0.784363808,59.60301082,0.784919094,71.6
Korean,예술 교육의 필요성,Low,GPT4.1,15,441,29.4,160,92,0.130385488,31,17,0.124350816,4,3,0.170068027,0.739594456,43.75909214,0.738877551,52.81646226
Korean,예술 교육의 필요성,Middle,GPT4.1,12,358,29.83333333,129,90,0.194881123,29,14,0.134848777,6,6,0.279329609,0.771545355,54.46834147,0.770614887,64.98407542
Korean,예술 교육의 필요성,Middle,GPT4.1,11,364,33.09090909,134,94,0.19271773,26,18,0.190194421,4,4,0.274725275,0.780658559,58.63500726,0.789777778,65.91351351
Korean,예술 교육의 필요성,Middle,GPT4.1,10,321,32.1,112,81,0.225300401,22,15,0.212404418,5,4,0.249221184,0.783528461,59.49052467,0.786838235,67.62729253
Korean,예술 교육의 필요성,Middle,GPT4.1,9,371,41.22222222,138,103,0.201179734,31,17,0.147813234,2,2,0.269541779,0.777944747,57.37305646,0.792236025,68.90049321
Korean,예술 교육의 필요성,Middle,GPT4.1,15,421,28.06666667,146,95,0.154556991,39,21,0.127900603,7,6,0.203596878,0.777435449,57.20967137,0.782096774,64.60385909
Korean,예술 교육의 필요성,Middle,GPT4.1,14,407,29.07142857,144,89,0.151856402,41,24,0.143824534,5,5,0.245700246,0.759638122,50.24894887,0.743128492,55.35920712
Korean,예술 교육의 필요성,Middle,GPT4.1,12,357,29.75,135,90,0.186741363,32,16,0.140056022,2,2,0.280112045,0.78465974,59.90633344,0.78461039,72.63103448
Korean,예술 교육의 필요성,Middle,GPT4.1,9,322,35.77777778,112,79,0.219055013,29,17,0.182051831,4,2,0.155279503,0.774193114,56.15860944,0.781904762,67.80260014
Korean,예술 교육의 필요성,Middle,GPT4.1,12,387,32.25,135,90,0.172265289,32,17,0.137273902,4,4,0.258397933,0.756527751,49.80254099,0.760591716,58.95027694
Korean,예술 교육의 필요성,Middle,GPT4.1,13,371,28.53846154,136,93,0.184319011,25,16,0.172506739,7,7,0.269541779,0.767689613,52.97429691,0.772173913,64.20647931
Korean,예술 교육의 필요성,High,GPT4.1,17,480,28.23529412,177,121,0.142419962,38,23,0.126096491,9,7,0.162037037,0.793866397,63.79145367,0.784965197,73.84393064
Korean,예술 교육의 필요성,High,GPT4.1,20,473,23.65,167,108,0.136724437,44,19,0.091293485,5,5,0.21141649,0.756940038,49.49845523,0.750283019,57.30375185
Korean,예술 교육의 필요성,High,GPT4.1,18,645,35.83333333,231,141,0.094634048,53,26,0.07605675,11,6,0.084566596,0.789958962,62.60267253,0.783221477,67.61999024
Korean,예술 교육의 필요성,High,GPT4.1,14,444,31.71428571,160,113,0.159065315,36,21,0.131381381,8,5,0.140765766,0.783363651,60.30852202,0.788911392,69.67757009
Korean,예술 교육의 필요성,High,GPT4.1,16,400,25,145,103,0.177586207,31,18,0.14516129,9,6,0.166666667,0.788051476,61.32781573,0.793276353,71.95989006
Korean,예술 교육의 필요성,High,GPT4.1,19,594,31.26315789,219,137,0.105314945,44,24,0.091827365,12,5,0.070145903,0.787903408,61.42140343,0.792477064,68.16701972
Korean,예술 교육의 필요성,High,GPT4.1,18,612,34,225,149,0.108206245,48,30,0.102124183,11,6,0.08912656,0.809211193,71.91306838,0.821563055,76.97030138
Korean,예술 교육의 필요성,High,GPT4.1,17,452,26.58823529,164,109,0.147042953,33,21,0.140788415,10,7,0.154867257,0.790326912,62.68426637,0.798858561,69.98939979
Korean,예술 교육의 필요성,High,GPT4.1,18,532,29.55555556,214,134,0.117700794,28,17,0.114124597,4,4,0.187969925,0.771628021,55.38724983,0.749689441,58.1252687
Korean,예술 교육의 필요성,High,GPT4.1,14,394,28.14285714,149,103,0.17545055,28,16,0.145032632,7,7,0.253807107,0.761371206,51.28488297,0.766434783,59.21046163
Korean,토론에 필요한 자세,Low,GPT4.1,12,335,27.91666667,105,62,0.176261549,29,19,0.195573855,5,4,0.23880597,0.721485463,39.2250888,0.735734266,53.06162298
Korean,토론에 필요한 자세,Low,GPT4.1,17,419,24.64705882,126,67,0.126908361,34,23,0.161448828,5,5,0.238663484,0.715686884,37.58100067,0.712594595,45.30674773
Korean,토론에 필요한 자세,Low,GPT4.1,14,421,30.07142857,125,65,0.123515439,37,25,0.160493035,7,4,0.135731252,0.72523677,40.17461215,0.73,50.5166266
Korean,토론에 필요한 자세,Low,GPT4.1,16,401,25.0625,114,69,0.150938443,33,22,0.166251039,7,5,0.178126113,0.716660685,38.21480995,0.726477273,47.82989927
Korean,토론에 필요한 자세,Low,GPT4.1,14,349,24.92857143,104,66,0.181838219,34,21,0.176976235,4,3,0.214899713,0.73192309,42.02993451,0.735466667,51.91104483
Korean,토론에 필요한 자세,Low,GPT4.1,14,382,27.28571429,111,67,0.158011415,32,22,0.179973822,7,5,0.186985789,0.724142666,39.91913611,0.736276276,52.63168585
Korean,토론에 필요한 자세,Low,GPT4.1,15,390,26,105,58,0.141636142,43,26,0.15503876,3,3,0.256410256,0.716276395,37.93892994,0.717302053,46.36962891
